"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","v_296","v_306","v_307","v_297","v_298","v_299","v_300","v_301","v_302","v_303","v_304","v_305","v_181","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","Ds_time","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cog_load_mch_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
51,50,0,"no tester","Suspended (22)","2191621                     ",NA,1083,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",72,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","we should follow the bible                                                                                                                                                                                                                                    ","not quoted","not quoted","quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",1,"quoted","not quoted","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","against all moral principals                                                                                                                                                                                                                                  ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted",4,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","against the bible reasons                                                                                                                                                                                                                                     ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","1: Not at all","1: Not at all",7,"1: Not at all",3,"No","No","France","philosopher, alchemist and scientist","1641","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","Extremely difficult",7,8,1,1,1,9,9,1,7,8,8,2,8,2,9,3,1,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191566,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,219159","Not flipped","Not flipped","HTML",NA,NA,"ccb9bbb3a42d4772af819fd525d78dda                                                                                                ","English","Not cleaned",1493494037,"2017-04-29 19:27:17           ",53,"cog_load",FALSE,FALSE,FALSE,FALSE,TRUE,8,6,1,"wrong","wrong","wrong","wrong",9,9,9,1,9,3,8,7,9,132,2.33333333333333,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,1,"reasons",TRUE,"reasons","wrong","wrong"
52,11,0,"no tester","Completed (31)","2191622                     ",NA,1022,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",50,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","even though you can do something, it is still morally wrong to sleep with your relative.                                                                                                                                                                      ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","morally we are all told it is wrong to have sex with our relative. Nature itself will not condone babies from this due to deformities. They knew it was wrong because they kept it a secret.                                                                  ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","5",5,"No, I am not able to believe this","No, I am not able to believe this","harm","2","2",6,"4: neutral",5,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","Difficult",8,8,3,2,2,8,3,4,6,7,8,3,6,8,7,3,2,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,2191590,219159","Not flipped","Not flipped","HTML",NA,NA,"17075b242162e8dd797a00fc55e7d5ea                                                                                                ","English","Not cleaned",1493466293,"2017-04-29 11:44:53           ",5,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,5,4,"wrong","wrong","wrong","wrong",7,8,8,7,6,4,7,7,8,130,2.22222222222222,"right","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",TRUE,"reasons","wrong","wrong"
53,21,0,"no tester","Suspended (22)","2191645                     ",NA,445,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",74,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","wrong is always wrong                                                                                                                                                                                                                                         ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","incest is wrong                                                                                                                                                                                                                                               ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","incest is wrong                                                                                                                                                                                                                                               ","unsupported declaration","changed","It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"No, I am not able to believe this","No, I am not able to believe this","harm","6","1: Not at all",6,"5",2,"No","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-66                                                                                                                                                                                                                                                           ",NA,"-66                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2191559,2191560,2191561,2191562,2191563,2191564,2191565,2191566,2191567,2191568,2191569,2191570,2191571,2191572,2191573,2191574,2191575,2191576,2191577,2191578,2191579,2191580,2191581,2191582,2191583,2191584,2191585,2191586,2191587,2191588,2191589,219159","Not flipped","Not flipped","HTML",NA,NA,"241fca25e0b418282213159134b3cb68                                                                                                ","English","Not cleaned",1493470310,"2017-04-29 12:51:50           ",26,"cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,NA,3,"wrong","wrong","wrong","wrong",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,NA,"unsupported declaration",TRUE,"reasons","wrong","wrong"
57,30,0,"no tester","Completed (31)","2273578                     ",NA,620,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",38,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","No one is harmed, it strengthens their relationship and provides them pleasure, whilst ensuring that the genetic imperitive to avoid procreation is still maintained.                                                                                         ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",7,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","2",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"Yes","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Extremely easy",9,9,1,1,2,9,7,2,3,9,9,1,9,7,9,2,2,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"76964ce96dec9b2f7cdaff8a5f2992a9                                                                                                ","English","Not cleaned",1496761242,"2017-06-06 15:00:42           ",32,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,8,4,"neutral","right","not wrong","not wrong",9,9,8,3,8,7,9,8,8,147,3.16666666666667,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,7,"nothing wrong",TRUE,"nothing wrong",NA,"not wrong"
58,21,0,"no tester","Suspended (22)","2273577                     ",NA,1016,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",49,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","There are good reasons sibling sexual relationships are against social norms, mostly because of the biological problems associated with inbreeding. While it's something I would never do, and I would likely be a bit weirded out by finding that someone I k","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",5,"not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","2",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"2",6,"No","No","France","philosopher, mathematician and scientist","1673","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","neither difficult nor easy",7,7,1,2,1,8,1,2,4,8,7,1,7,9,7,1,1,9,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"99f4192003285de071d6be5443d3d5c1                                                                                                ","English","Not cleaned",1496750881,"2017-06-06 12:08:01           ",45,"cog_load",TRUE,TRUE,TRUE,TRUE,FALSE,9,8,3,"neutral","right","not wrong","not wrong",9,8,9,9,8,6,9,9,9,145,3.05555555555556,"right","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,4,"nothing wrong",TRUE,"nothing wrong",NA,"not wrong"
59,10,0,"no tester","Completed (31)","2273578                     ",NA,663,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",42,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","They agreed, they are adults and no one else was impacted by their actions.                                                                                                                                                                                   ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",3,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Very difficult",8,8,2,2,1,8,2,4,3,8,7,2,6,8,7,1,1,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"676945fef439435bc7055324ad900d45                                                                                                ","English","Not cleaned",1496750061,"2017-06-06 11:54:21           ",110,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,8,4,"neutral","neutral","not wrong","not wrong",8,8,9,8,6,7,8,9,9,140,2.77777777777778,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,2,"nothing wrong",TRUE,"nothing wrong",NA,NA
60,14,0,"no tester","Completed (31)","2273578                     ",NA,649,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",52,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","They didn't hurt anyone, they were adults and they agreed.  There was no coercion.                                                                                                                                                                            ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No","France","philosopher, mathematician and scientist","1637","quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","Difficult",8,8,2,2,1,8,2,2,2,8,7,2,7,8,7,2,2,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"12d7c259bba77b6e6e65518433a69170                                                                                                ","English","Not cleaned",1496750156,"2017-06-06 11:55:56           ",26,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,8,4,"neutral","neutral","not wrong","not wrong",8,8,9,8,8,8,8,8,8,142,2.88888888888889,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
61,13,0,"no tester","Suspended (22)","2273577                     ",NA,654,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",36,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","They tried something that is considered wrong by modern society but it was consensual and no one was harmed in the process.                                                                                                                                   ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"1: Not at all",4,"No","No","France","philosopher, mathematician and scientist","1667","quoted","quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","Easy",6,8,3,2,2,6,4,6,2,7,9,1,6,7,7,3,1,8,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Flipped","Flipped","HTML",NA,NA,"172690b621e377ed9aa36d24286ac4ca                                                                                                ","English","Not cleaned",1496750110,"2017-06-06 11:55:10           ",33,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,6,4,"neutral","neutral","not wrong","not wrong",7,8,8,6,4,8,9,7,9,130,2.22222222222222,"neutral","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"nothing wrong",NA,NA
62,40,0,"no tester","Completed (31)","2273578                     ",NA,339,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",31,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","no one was hurt, I don't really care                                                                                                                                                                                                                          ","no harm mentioned","norms not mentioned","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","1: Not at all","1: Not at all",7,"2",3,"No","No","France","philosopher, chemist and mathematician","1641","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","Difficult",2,8,2,2,7,6,3,4,2,6,6,8,3,3,6,2,8,7,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Not flipped","Not flipped","HTML",NA,NA,"1d1c735f9f9042db33f97a316a1885c3                                                                                                ","English","Not cleaned",1496761466,"2017-06-06 15:04:26           ",4,"cog_load",TRUE,TRUE,FALSE,TRUE,FALSE,9,4,2,"neutral","neutral","not wrong","not wrong",8,8,3,7,6,8,2,8,2,99,0.5,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,3,"nothing wrong",TRUE,"nothing wrong",NA,NA
63,29,0,"no tester","Completed (31)","2273578                     ",NA,466,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",33,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",5,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","they are adults and should be able to do whatever they want, they aren't hurting anyone.                                                                                                                                                                      ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",6,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"Yes, I am able to believe this","Yes, I am able to believe this","no harm","2","5",7,"7: Extremely",3,"No","No","France","philosopher, mathematician and scientist","1641","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","Easy",4,4,6,6,3,2,6,6,6,7,6,5,3,3,5,4,7,4,"No","na                                                                                                                                                                                                                                                            ","no","na                                                                                                                                                                                                                                                            ",0,"-99                                                                                                                                                                                                                                                           ","2273510,2273511,2273512,2273513,2273514,2273515,2273516,2273518,2273519,2273520,2273521,2273522,2273523,2273524,2273525,2273526,2273527,2273528,2273529,2273530,2273531,2273532,2273533,2273534,2273535,2273536,2273537,2273538,2273539,2273540,2273541,227354","Flipped","Not flipped","HTML",NA,NA,"d8875a6a251ad8a489d7e03085f26c0a                                                                                                ","English","Not cleaned",1496757243,"2017-06-06 13:54:03           ",33,"cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,6,4,"right","right","not wrong","not wrong",4,4,7,4,4,4,5,6,3,79,-0.611111111111111,"wrong","true","true","true","true","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,5,"nothing wrong",TRUE,"right initially","not wrong","not wrong"
