"participant","lfdn","external_lfdn","tester","dispcode","lastpage","quality","duration","c_0001","c_0002","consent","gender","age","normQ","Nrm_el","v_193","v_194","v_203","v_195","v_196","v_204","v_197","v_198","v_205","InJu1","v_206","v_207","v_208","v_209","v_210","v_211","v_212","v_213","v_214","Int_Rsn","hrm_st","nrm_st","v_224","v_225","v_226","v_227","v_228","v_229","v_230","v_231","v_232","InCf1","InRem1","InSWr1","InAR1","InRem2","InSWr2","InAR2","InRem3","InSWr3","InAR3","InCS","InStR","string_coded","critical_slide_wrong","Dumb_incl_string","v_215","v_216","v_217","v_218","v_219","v_220","v_221","v_222","v_223","InJu2","v_233","v_234","v_235","v_236","v_237","v_238","v_239","v_240","v_241","InChM","InCf2","v_181","Hrm_rel","Hrm_oth","hrm_Qs","InIrr","InCu","InRsn2","InGut","pot_hrm","box","rugb","NFC1","NFC2","NFC3","NFC4","NFC5","NFC6","NFC7","NFC8","NFC9","NFC10","NFC11","NFC12","NFC13","NFC14","NFC15","NFC16","NFC17","NFC18","ethics","ethStR","Prv_in","Prv_in_S","quota","quota_assignment","page_history","hflip","vflip","output_mode","javascript","flash","session_id","language","cleaned","ats","datetime","date_of_last_access","date_of_first_mail","condition","cog_load_test","cog_load_inju","cog_load_Rs","cog_load_CS","cog_load_reju","cog_load_CS_num","cogload_num","Ju1_bin","Ju2_bin","wrong1","wrong2","NFC3R","NFC4R","NFC5R","NFC7R","NFC8R","NFC9R","NFC12R","NFC16R","NFC17R","NFC_tot","NFC","pot_hrm_bin","all_harm","all_harm_norm","nrm_all","Roz_fully_C","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always","cog_Mch_num","Dumb_response","engaged","right_change","wrong1b","wrong2b"
18,19,0,"no tester","Completed (31)","2186676                     ",NA,426,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",26,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","i think if you are violating an established moral norm, and if you know that what you are doing is wrong, it will always be inherently wrong in any situation, even if no one is being harmed from it. as long as you yourself know it is wrong, or feel that ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","it is morally wrong because they are siblings. even if they enjoyed it, i feel that this behavior is unacceptable and is just morally wrong on all levels to any outsider who views this.                                                                     ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",6,"neither difficult nor easy","Yes, I am able to believe this","No, I am not able to believe this","harm","4: neutral","3",4,"6",2,"No","No",6,5,5,6,5,7,5,5,6,4,4,4,5,5,6,3,3,7,"No","N/A                                                                                                                                                                                                                                                           ","no","N/A                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,218664","Not flipped","Not flipped","HTML",NA,NA,"38f3c78867b5bb91c1d531173f18ac96                                                                                                ","English","Not cleaned",1493253962,"2017-04-27 00:46:02           ","2017-04-27 00:53:08           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,FALSE,TRUE,5,3,"wrong","wrong","wrong","wrong",5,4,5,5,5,4,6,7,7,97,0.388888888888889,"wrong","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","no reason","unstated","reason","reason","reason",TRUE,4,"admission",FALSE,"dumbfounded","wrong","wrong"
19,42,0,"no tester","Completed (31)","2186676                     ",NA,469,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",30,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","It is just wrong to me imo                                                                                                                                                                                                                                    ","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","not quoted",4,"not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","Matches most closely with the pattern I saw.                                                                                                                                                                                                                  ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"Yes","Yes","Unsure","No","Yes","Yes, I have a reason","No","Yes","Unsure","It's wrong and I can provide a valid reason.","It was the best choice in my opinion                                                                                                                                                                                                                          ","statement without reason",NA,"It's wrong and I can provide a valid reason.","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","quoted","not quoted","6",3,"Very difficult","Yes, I am able to believe this","No, I am not able to believe this","harm","5","6",4,"6",6,"No","Yes",7,5,6,5,4,3,2,1,2,3,4,4,5,6,6,4,5,4,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,218664","Not flipped","Flipped","HTML",NA,NA,"0901740b699fd7cc82c14b51591211f9                                                                                                ","English","Not cleaned",1493258885,"2017-04-27 02:08:05           ","2017-04-27 02:15:54           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,TRUE,FALSE,FALSE,4,1,"neutral","right","not wrong","not wrong",4,5,6,8,9,8,6,6,5,100,0.555555555555555,"right","true","true","true","false","not wrong","wrong","wrong","wrong","wrong","not wrong",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","unstated","reason","unstated","reason","unstated","no reason","reason","no reason",FALSE,2,"reasons",FALSE,"reasons",NA,"not wrong"
20,47,0,"no tester","Suspended (22)","2186675                     ",NA,882,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",65,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.","why have morals if you are only going to follow them under certain conditions, that would be immoral                                                                                                                                                          ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","not quoted","it is a sin to commit incest                                                                                                                                                                                                                                  ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"Yes","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","It is incest, if it wouldn't harm anyone then why hide it. it would harm their family members, it also could harm any further relationships they might have in the future                                                                                     ","reason",NA,"It's wrong and I can provide a valid reason.","not quoted","not quoted","not quoted","quoted","quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"Difficult","Yes, I am able to believe this","No, I am not able to believe this","harm","6","1: Not at all",7,"7: Extremely",4,"No","No",6,5,5,4,5,2,2,5,7,7,7,3,4,5,5,3,7,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,218664","Flipped","Not flipped","HTML",NA,NA,"5c86768bcc54076431f44e0479491325                                                                                                ","English","Not cleaned",1493260256,"2017-04-27 02:30:56           ","2017-04-27 02:46:08           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,FALSE,TRUE,5,2,"wrong","wrong","wrong","wrong",5,6,5,8,5,3,7,7,3,93,0.166666666666667,"neutral","true","false","false","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,3,"reasons",FALSE,"reasons","wrong","wrong"
21,21,0,"no tester","Completed (31)","2186676                     ",NA,428,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",38,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","not quoted",4,"quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","quoted","not quoted","I don't think it's wrong or right considering nobody gets hurt, but they're for sure weird and probably engage in other weird behavior, probably more harmful than this.                                                                                      ","no harm mentioned","norms not mentioned","not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted",3,"Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","Yes","No","Yes, I have a reason","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted",4,"not quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted","quoted","1: Not at all",3,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","5","1: Not at all",6,"2",3,"No","No",2,2,8,8,8,2,8,3,8,3,3,8,2,7,2,8,8,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Not flipped","HTML",NA,NA,"329c9c2165a80bbbca1bf78b306e349a                                                                                                ","English","Not cleaned",1493254137,"2017-04-27 00:48:57           ","2017-04-27 00:56:05           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,FALSE,FALSE,FALSE,6,0,"neutral","neutral","not wrong","not wrong",2,2,2,2,7,2,2,2,2,52,-2.11111111111111,"wrong","true","true","true","false","not wrong","not wrong","not wrong","not wrong","not wrong","not wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","unstated","unstated","reason","reason","reason",TRUE,2,"nothing wrong",FALSE,"nothing wrong",NA,NA
22,40,0,"no tester","Completed (31)","2186676                     ",NA,541,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",22,"Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result."," Violating an established moral norm, just for fun or personal enjoyment, is inherently wrong  even in situations where no one is harmed as a result.     Please elaborate on your response, or provide reasons for your response below:                      ","not quoted","not quoted","quoted","quoted","quoted","not quoted","quoted","not quoted","not quoted",4,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","WHat?                                                                                                                                                                                                                                                         ","no harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",4,"Yes","No","Yes, I have a reason","No","Yes","Unsure","No","Yes","Unsure","There is nothing wrong.","-66                                                                                                                                                                                                                                                           ",NA,NA,"There is nothing wrong.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","4: neutral",4,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","4: neutral","4: neutral",4,"4: neutral",4,"No","No",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186620,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,218664","Flipped","Flipped","HTML",NA,NA,"b393343d6f3baae529265ce6ba0fd5a0                                                                                                ","English","Not cleaned",1493258392,"2017-04-27 01:59:52           ","2017-04-27 02:08:53           ","0000-00-00 00:00:00           ","cog_load",FALSE,TRUE,TRUE,TRUE,TRUE,9,4,"neutral","neutral","not wrong","not wrong",5,5,5,5,5,5,5,5,5,90,0,"neutral","true","true","true","false","not wrong","not wrong","wrong","wrong","not wrong","not wrong",FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE,2,"unstated","reason","unstated","unstated","unstated","unstated","reason","no reason","no reason",FALSE,4,"nothing wrong",TRUE,"nothing wrong",NA,NA
23,24,0,"no tester","Completed (31)","2186676                     ",NA,637,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",36,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","not quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","I don't believe that a brother and sister should have sexual relations with each other.                                                                                                                                                                       ","no harm mentioned","norms not mentioned","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted",4,"Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","1: Not at all",1,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","6",1,"7: Extremely",4,"No","No",6,6,4,4,4,4,4,4,3,6,6,4,6,7,6,6,3,6,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Flipped","HTML",NA,NA,"9e292c37c62c41b0031a1fc4d1c9fe50                                                                                                ","English","Not cleaned",1493255137,"2017-04-27 01:05:37           ","2017-04-27 01:16:14           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,FALSE,TRUE,FALSE,9,1,"wrong","wrong","wrong","wrong",6,6,6,6,6,7,6,4,7,107,0.944444444444445,"neutral","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,3,"admission",TRUE,"dumbfounded","wrong","wrong"
24,3,0,"no tester","Completed (31)","2186676                     ",NA,552,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",58,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"not quoted","not quoted","quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","It is morally wrong and if a child had been consummated that would have been detrimental towards its mental health and perhaps physical as well. I just feel that siblings should not sleep together.                                                         ","harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",5,"No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",4,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","3",3,"Very difficult","No, I am not able to believe this","No, I am not able to believe this","harm","2","2",2,"6",2,"Yes","No",5,8,1,1,1,6,1,4,2,8,8,2,8,8,8,5,2,8,"Yes","I took Ethics classes in college and cannot give any specifics at this time as it was so long ago.                                                                                                                                                            ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"de276523f508687fc360fa763306d86b                                                                                                ","English","Not cleaned",1493251200,"2017-04-27 00:00:00           ","2017-04-27 00:09:12           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"wrong","neutral","wrong","not wrong",9,9,9,9,6,8,8,5,8,138,2.66666666666667,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,2,"admission",TRUE,"dumbfounded","wrong",NA
25,5,0,"no tester","Completed (31)","2186676                     ",NA,566,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",43,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","It would be wrong because even with birth control you can still get pregnant. That would put a baby at risk because of thier close family relationship.                                                                                                       ","harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"No","Yes","Yes, I have a reason","No","Yes","No, I have no reason","No","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",2,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","5",3,"Difficult","No, I am not able to believe this","No, I am not able to believe this","harm","6","3",5,"4: neutral",3,"Yes","No",2,4,6,6,4,9,6,8,6,6,4,4,2,6,6,9,4,3,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Not flipped","HTML",NA,NA,"d289a19b190860aa87f801a2cd7b78d2                                                                                                ","English","Not cleaned",1493251222,"2017-04-27 00:00:22           ","2017-04-27 00:09:48           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"wrong","wrong","wrong","wrong",4,4,6,4,2,4,6,1,6,79,-0.611111111111111,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,1,FALSE,0,"unstated","reason","no reason","no reason","no reason","unstated","reason","no reason","no reason",FALSE,3,"admission",TRUE,"dumbfounded","wrong","wrong"
26,51,0,"no tester","Completed (31)","2186676                     ",NA,1193,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Male",46,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted","not quoted","On the one hand no one was harmed, and they made sure that pregnancy would not result from their actions. But their behavior was unnatural and disgusting, and society is right to prohibit that sort of thing.                                               ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",4,"Yes","Yes","Unsure","Yes","Yes","No, I have no reason","Yes","Yes","Unsure","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",3,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","5",4,"Easy","No, I am not able to believe this","No, I am not able to believe this","harm","5","1: Not at all",3,"6",3,"No","No",4,3,5,7,5,5,7,8,8,4,2,7,5,4,3,6,8,2,"No","-99                                                                                                                                                                                                                                                           ","yes","I saw the scenario in another MTurk HIT I did maybe a couple of years ago. I don't remember anything else about that task.                                                                                                                                    ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Flipped","Flipped","HTML",NA,NA,"2bb514343e82f3c2bcd78ae7493556c8                                                                                                ","English","Not cleaned",1493261999,"2017-04-27 02:59:59           ","2017-04-27 03:19:52           ","0000-00-00 00:00:00           ","cog_load",TRUE,TRUE,TRUE,TRUE,TRUE,9,4,"wrong","wrong","wrong","wrong",5,3,5,3,2,2,3,4,2,61,-1.61111111111111,"wrong","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,2,FALSE,0,"unstated","unstated","no reason","unstated","no reason","unstated","no reason","no reason","no reason",FALSE,5,"admission",TRUE,"dumbfounded","wrong","wrong"
27,10,0,"no tester","Completed (31)","2186676                     ",NA,477,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",39,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","they are siblings, it is extremely inappropriate for them to behave like that its disgusting                                                                                                                                                                  ","no harm mentioned","norms mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",7,"No","Yes","No, I have no reason","No","Yes","No, I have no reason","Yes","Yes","No, I have no reason","It's wrong but I can't think of a reason.","-66                                                                                                                                                                                                                                                           ",NA,NA,"It's wrong but I can't think of a reason.","not quoted","quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted","not quoted",1,"not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","1: Not at all",7,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","7: Extremely Irritated","5",6,"7: Extremely",4,"No","No",4,4,7,7,7,3,7,7,7,3,3,7,4,3,3,8,8,2,"No","-99                                                                                                                                                                                                                                                           ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Flipped","HTML",NA,NA,"c8f932328cb23c584f8f0951f0e43055                                                                                                ","English","Not cleaned",1493251851,"2017-04-27 00:10:51           ","2017-04-27 00:18:48           ","0000-00-00 00:00:00           ","cog_load",TRUE,FALSE,TRUE,TRUE,TRUE,9,3,"wrong","wrong","wrong","wrong",3,3,3,3,3,3,3,2,2,54,-2,"neutral","true","true","true","false","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE,4,"admission",TRUE,"dumbfounded","wrong","wrong"
28,14,0,"no tester","Completed (31)","2186676                     ",NA,2078,"-66                                                                                                                                                                                                                                                           ",NA,"Yes","Female",39,"Violating an established moral norm, just for fun or personal enjoyment, is wrong only in situations where someone is harmed as a result, but is acceptable otherwise.","-66                                                                                                                                                                                                                                                           ","not quoted","not quoted","not quoted","quoted","not quoted","not quoted","not quoted","quoted","quoted",2,"quoted","quoted","not quoted","not quoted","not quoted","quoted","not quoted","quoted","not quoted","Brother and sister relationships share the same DNA and because of the nature of the relationship the act is wrong.                                                                                                                                           ","harm mentioned","norms not mentioned","quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted",6,"No","Yes","Yes, I have a reason","Yes","Yes","Yes, I have a reason","No","Yes","Yes, I have a reason","It's wrong and I can provide a valid reason.","If pregnancy would have occurred both parties in addition to other family members would be humiliated.                                                                                                                                                        ","reason",NA,"It's wrong and I can provide a valid reason.","quoted","quoted","not quoted","not quoted","not quoted","not quoted","not quoted","quoted","quoted",4,"quoted","not quoted","not quoted","quoted","not quoted","not quoted","quoted","not quoted","not quoted","1: Not at all",7,"neither difficult nor easy","No, I am not able to believe this","No, I am not able to believe this","harm","5","4: neutral",7,"7: Extremely",1,"Yes","Yes",7,7,2,2,2,6,1,3,1,8,9,1,6,9,9,6,1,6,"Yes","Ethics course in college                                                                                                                                                                                                                                      ","no","-99                                                                                                                                                                                                                                                           ",0,"-99                                                                                                                                                                                                                                                           ","2186613,2186614,2186615,2186616,2186617,2186618,2186619,2186621,2186622,2186623,2186624,2186625,2186626,2186627,2186628,2186629,2186630,2186631,2186632,2186633,2186634,2186635,2186636,2186637,2186638,2186639,2186640,2186641,2186642,2186643,2186644,218664","Not flipped","Flipped","HTML",NA,NA,"dee20bb6186625a9b1698cbe2a2ee4d3                                                                                                ","English","Not cleaned",1493252702,"2017-04-27 00:25:02           ","2017-04-27 00:59:40           ","0000-00-00 00:00:00           ","cog_load",FALSE,FALSE,TRUE,FALSE,FALSE,5,1,"wrong","neutral","wrong","not wrong",8,8,8,9,7,9,9,4,9,138,2.66666666666667,"wrong","false","false","true","false","wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE,4,"reasons",FALSE,"reasons","wrong",NA
