"run_id","condition","rt","url","trial_type","trial_index","time_elapsed","internal_node_id","PROLIFIC_PID","STUDY_ID","SESSION_ID","subject","age","gender","gender_rt","attention_check2","attention_check2_rt","cog_practice","CS_rt","cog_practice1","cog_practice2","cog_practice3","cog_load_response8","attention_check1","attention_check1_rt","scenario","test_condition","InJu1","InJu1_rt","InJu1_trial1","InJu1_trial2","InJu1_trial3","cog_load_response0","responses","stimulus","button_pressed","key_press","response","conf1","ca1","sw1","rsn1","ca2","sw2","rsn2","ca3","sw3","rsn3","CS","CS_trial1","CS_trial2","CS_trial3","InJu2","InJu2_rt","InJu2_trial1","InJu2_trial2","InJu2_trial3","cog_load_response5","conf2","previous_experience","reason","gender_other","preview","country","cog_practice_trial_number","InJu1_trial_number","CS_trial_number","InJu2_trial_number","Ju1_bin","Ju2_bin","InCS","j1","j2","j3","j4","j5","j6","ch1","ch2","ch3","ch4","ch5","Rch1","Rch2","Rs_changed","Rs_changed_tot","changed","changed_tot","rs1","rs2","rs3","rs4","rs5","rs6","rs1_bin","rs2_bin","rs3_bin","reason_always"
38,"control","19786","debriefing_form.html","external-html",27,196077,"0.0-7.0","56f2ad34ed0cf6000691331f","618b9cbf713205f8e1c56f1c","618bbd5fe17df900c517aaad","z1vzgndwj9n5a8k","45",0,2771.29999999702,1,11772.5,NA,"4500.79999999702",NA,NA,NA,NA,8,11690.5,"Incest","control",1,"5671.79999999702",1,0,0,NA,"""","""","""","""","""",7,0,0,0,0,0,0,1,0,0,"2",1,0,0,1,"3259.199999988079",1,0,0,NA,7,"no","they are brother and sister",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
614,"control","38350","debriefing_form.html","external-html",27,568725,"0.0-7.0","571c944ee1d2ec0012a68677","618b9cbf713205f8e1c56f02","618c18325b7b0a1f28b7b487","r5d4rzc6scclt5l","61",0,1968,1,19214,NA,"7866",NA,NA,NA,NA,8,31361,"Jennifer","control",1,"8644",1,0,0,NA,"""","""","""","""","""",7,0,0,0,0,0,0,0,0,0,"2",1,0,0,1,"6029",1,0,0,NA,7,"No.","The deceased person donated their body for scientific study; they did not agree to be anyone's meal.  Jennifer did not have authorization for what she did and she treated the deceased person's body without respect in an unethical fashion.",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
952,"control","2656.300000011921","debriefing_form.html","external-html",27,251476,"0.0-7.0","57223b1c01ed330011374d93","618b9cbf713205f8e1c56efc","618c60069264df6ccc8f9931","2otc97fntsct64b","62",1,2830.29999999702,1,6387.89999999106,NA,"5759.699999988079",NA,NA,NA,NA,8,16418.8000000119,"Heinz","control",4,"12729",1,0,0,NA,"""","""","""","""","""",5,0,1,0,0,1,0,0,0,0,"2",1,0,0,1,"3025.0999999940395",1,0,0,NA,7,"no","Someone was dying and he could get paid later",NA,NA,"US",NA,1,1,1,"neutral","wrong","It's wrong and I can provide a valid reason.","not wrong","not wrong","not wrong","wrong","wrong","wrong",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
566,"cog_load","2509.800000011921","""","survey-text",67,385952,"0.0-6.0","5727d93522e522000e7a0a3c","618b9cbf713205f8e1c56f05","618c110386102b520bffb353","g64mgrllzu466hr","50",1,1421.79999998212,1,14238.599999994,"2","13955.09999999404",0,2,0,"1",8,21074.599999994,"Heinz","cog_load",1,"7253.5",0,2,0,"3","{""Q0"":""}","""","""","""","""",5,0,0,0,0,1,0,0,1,0,"2",1,0,0,1,"18871.30000001192",1,0,0,"2",2,"no","Because someones life was in jeopardy",NA,NA,"US",2,2,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","not wrong","not wrong","wrong","wrong",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
13,"control","4023.900000002235","""","survey-text",25,229074,"0.0-6.0","572897d52865c40008423b21","618af29e6b50937ab4a5aa96","618b0a5ac13ece31154949c7","6hzv2z0vyu34dqv","38",0,1713.40000000224,1,19232.9000000022,NA,"9056.5",NA,NA,NA,NA,8,36051.5999999978,"Jennifer","control",1,"4904.5",1,0,0,NA,"{""Q0"":""No""}","""","""","""","""",7,1,0,1,0,0,1,1,0,1,"1",1,0,0,1,"5116.60000000149",1,0,0,NA,7,"No",NA,NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE
387,NA,"4288.30000000447","""","html-button-response",12,78591,"0.0-4.0-0.0-0.0-4.0-0.0","57509b61d6edf00006ff7fcb","618b9cbf713205f8e1c56ef4","618bfc820e052eb2015e7e4f","gdn1fw64539jkce","55",0,1344.89999999851,1,5410.30000000447,"1","4288.30000000447",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""","<p><b>Example</b></p><video autoplay muted><source src='video/num_scroll_test9.mp4' type='video/mp4'></video><br><p>Do you find multi-tasking difficult?</p>","1","""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unstated",NA,NA,NA,NA,"unstated",NA,NA,NA,NA
445,"cog_load","2494.2000000001863","debriefing_form.html","external-html",54,209427,"0.0-7.0","5758a211cb13810006479a0d","618b9cbf713205f8e1c56f05","618c05ad00dcfdcb20324cd7","utmg4h3zfrtvp7n","57",1,3484.70000000019,1,7757.70000000019,"1","5665.0999999996275",1,0,0,"1",8,12352.5999999996,"Heinz","cog_load",1,"5537.5",1,0,0,"2","""","""","""","""","""",7,0,0,0,0,0,0,0,0,0,"2",1,0,0,1,"6237.199999999255",1,0,0,"1",7,"no","2",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
497,"control","53868.09999990463","debriefing_form.html","external-html",26,389022,"0.0-7.0","57901c44900cc80001d2e9c7","618b9cbf713205f8e1c56ef4","618c0b405b2a6f03bc51041f","r3e1lkbabba7u6o","57901c44900cc80001d2e9c7",0,2797.59999990463,1,22348.0999999046,NA,"11879.099999904633",NA,NA,NA,NA,8,34228,"Jennifer","control",3,"16655.099999904633",1,0,0,NA,"""","""","""","""","""",4,0,0,2,0,0,2,0,0,2,"1",1,0,0,4,"22786.700000286102",1,0,0,NA,3,"No",NA,NA,NA,"US",NA,1,1,1,"wrong","neutral","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","not wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,TRUE,1,"unstated","2","2","2","no reason","unstated","2","2","2",FALSE
726,"cog_load","5740.89999961853","""","survey-text",59,278769,"0.0-6.0","57ac740478a38d00017cce22","618b9cbf713205f8e1c56f02","618c277d3541ff5a8ffc9f0a","pz5pfhuas6g7kah","61",0,1662,4,8482.09999990463,"2","4993.299999713898",0,2,0,"1",8,6158.30000019073,"Jennifer","cog_load",1,"9676",1,0,0,"q","{""Q0"":""no""}","""","""","""","""",6,0,0,1,0,0,1,1,0,1,"1",1,0,0,1,"6901.599999904633",1,0,0,"1",6,"no",NA,NA,NA,"US",2,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","no reason","no reason","no reason","no reason","unstated","no reason","no reason","no reason",FALSE
110,"control","1327.199999988079","debriefing_form.html","external-html",27,339586,"0.0-7.0","57b4abf0f0ed6e0001517979","618b9cbf713205f8e1c56f0d","618bd8f4647dec436c0265fb","zgol8jdqhyaxoal","27",1,1372.80000001192,1,10737.5,NA,"31584",NA,NA,NA,NA,8,24948,"Heinz","control",1,"4574.699999988079",1,0,0,NA,"""","""","""","""","""",7,0,0,0,0,0,0,0,1,0,"2",1,0,0,1,"3375.5",1,0,0,NA,7,"No","The druggist needs to protect his livelihood, yes, but if can protect his livelihood by selling the life-saving drug for less than 10x the amount it took to create it, then I believe it is morally wrong for him to deny access to something that could save a life simply because he isn't making the money he WANTS to make.",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","not wrong","wrong","wrong",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
360,"cog_load","10719.799999952316","debriefing_form.html","external-html",54,331856,"0.0-7.0","57bca845e2101600015e8e88","618b9cbf713205f8e1c56f0c","618bfab0da95bd61d5c1b203","hfb7alw2a0c2xdm","27",1,1120.70000004768,4,13925.7999999523,"1","10582.899999856949",1,0,0,"1",8,22445.1999998093,"Trolley","cog_load",5,"10937.200000047684",1,0,0,"4","""","""","""","""","""",2,0,0,2,0,0,0,0,1,0,"2",1,0,0,3,"10926.5",1,0,0,"1",3,"I've seen variations of the trolley problem before. Usually with pulling a lever to redirect the trolley instead of pushing someone in front of it.","Paul had to murder an innocent man in order to stop the trolley. Murder is wrong.",NA,NA,"US",1,1,1,1,"right","wrong","It's wrong and I can provide a valid reason.","not wrong","wrong","wrong","not wrong","wrong","wrong",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE,3,"unstated","2","reason","reason","reason","unstated","2","reason","reason",FALSE
314,"control","5399.900000095367","""","survey-text",24,152263,"0.0-5.0","57ceec6cfd01b20001d0251d","618b9cbf713205f8e1c56ef6","618bf5a1d844c88dd91038c5","aouy3wnvfsp4mel","32",0,1148.60000014305,4,7469.70000004768,NA,"2846.9000000953674",NA,NA,NA,NA,8,12543.6000001431,"Jennifer","control",1,"3139.4000000953674",1,0,0,NA,"{""Q0"":""no""}","""","""","""","""",6,0,0,2,0,0,1,0,1,2,"1",1,0,0,2,"2934.7000000476837",1,0,0,NA,5,"no",NA,NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong but I can't think of a reason.","wrong","wrong","wrong","not wrong","wrong","wrong",FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,2,TRUE,2,"unstated","2","no reason","2","no reason","unstated","2","no reason","2",FALSE
745,"control","29382.10000000149","""","survey-text",25,251802,"0.0-6.0","57d70b2247180e0001f100e3","618b9cbf713205f8e1c56f0e","618c2a3b66c25d1501626cbc","a4qsgn2aqgq5zts","39",1,1237.80000000075,1,7910.89999999851,NA,"7406.800000000745",NA,NA,NA,NA,8,43153,"Incest","control",5,"4245.60000000149",1,0,0,NA,"{""Q0"":""They could be hurting others but unsure.""}","""","""","""","""",3,0,1,0,0,1,0,1,1,1,"0",1,0,0,3,"7749.199999999255",1,0,0,NA,5,"No",NA,NA,NA,"US",NA,1,1,1,"right","wrong","There is nothing wrong.","not wrong","not wrong","not wrong","not wrong","not wrong","wrong",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,1,TRUE,1,"unstated","reason","reason","no reason","unstated","unstated","reason","reason","no reason",FALSE
1028,"cog_load","10911.099999999627","debriefing_form.html","external-html",54,198844,"0.0-7.0","57fffa56789446000195c87e","618d7b0e0006685d8f891881","618dbec91b531e6a0fdc0032","qw3ou06rxyc259s","21",1,822.699999999255,1,5609.79999999888,"0","8350.299999998882",1,0,0,"1",8,9021.20000000112,"Heinz","cog_load",3,"12464",1,0,0,"1","""","""","""","""","""",5,0,1,0,0,0,0,0,0,0,"2",1,0,0,2,"14654.800000000745",1,0,0,"1",3,"Yes, this was introduced 2 questions ago","Livelihood has to be limited to something reasonable;earning 90% profit margins (i.e. 10x the price of the product he produces) is simply unreasonable and therefore I think the druggist is morally culpable.",NA,NA,"US",1,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","wrong","wrong","wrong","wrong",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
928,"control","16969.600000023842","debriefing_form.html","external-html",27,334077,"0.0-7.0","580bea98827ca10001db514e","618b9cbf713205f8e1c56ef1","618c51b7021d08a17a33c5c0","tjre8pc3hk0kx48","52",1,2232.10000002384,1,11490.4000000954,NA,"13612.200000047684",NA,NA,NA,NA,8,12770.5,"Jennifer","control",2,"13412.600000023842",1,0,0,NA,"""","""","""","""","""",1,0,0,0,0,0,0,0,0,0,"2",1,0,0,2,"4835.699999928474",1,0,0,NA,6,"no.","cannibalism come to mind.",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
433,"control","13237.79999999702","debriefing_form.html","external-html",27,255946,"0.0-7.0","581dd1d1cccc4800017ab5c2","618b9cbf713205f8e1c56f1c","618c039f9a3fe993860faec7","6v47axd8jbxelkn","40",0,2449.70000000298,4,15986.1000000015,NA,"6038.5",NA,NA,NA,NA,8,11344.3000000045,"Heinz","control",1,"3826.7000000029802",1,0,0,NA,"""","""","""","""","""",7,0,1,0,0,1,0,0,1,0,"2",1,0,0,1,"3643",1,0,0,NA,7,"no","Because his drug was to expensive and he was so selfish at the expense of other people life or death. Human life is more worth than anything",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,TRUE,2,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
880,"control","5492","debriefing_form.html","external-html",27,268308,"0.0-7.0","582afed4ce3a0e00010b3245","618b9cbf713205f8e1c56f02","618c47b498dc5471f0675a59","h5zg20xh6c0tmbg","69",0,2127,4,25205,NA,"15411.99999999997",NA,NA,NA,NA,8,31794,"Heinz","control",2,"9159",1,0,0,NA,"""","""","""","""","""",6,0,1,2,0,1,0,0,1,0,"2",1,0,0,1,"8242.00000000003",1,0,0,NA,6,"No","He did",NA,NA,"US",NA,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","not wrong","not wrong","not wrong","wrong","wrong",TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,TRUE,2,"unstated","2","reason","reason","reason","unstated","2","reason","reason",FALSE
9,"control","15763","""","html-button-response",21,207550,"0.0-4.0-3.0-5.0-0.0","5839a4d4fe62f500016695f1","618af29e6b50937ab4a5aa96","618b06fc96ef5624b24e776d","l71a98ap95876s8","40",1,1389,4,31627,NA,"15763",NA,NA,NA,NA,8,38000,"Incest","control",2,"6167",1,0,0,NA,"""","<p style='font-size:20px;'>Julie and Mark's behaviour did not harm anyone or negatively affect anyone.</p><p style='font-size:20px;'>How can there be anything wrong with what they did?</p>","2","""","""",5,1,0,1,0,0,0,0,0,1,"2",1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US",NA,1,1,NA,"wrong",NA,"It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong",NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,2,NA,NA,"unstated","no reason","reason","no reason","reason","unstated","no reason","reason","no reason",FALSE
773,"cog_load","7924.70000000298","""","survey-text",60,343111,"0.0-6.0","58810bc97b21a60001758c8b","618b9cbf713205f8e1c56f02","618c2f2e4135a61816fbff8c","b2nbpxck52lgm92","58",0,1675.30000000447,1,8966.60000000149,"1","9761.79999999702",0,2,0,"1",8,21093.700000003,"Heinz","cog_load",1,"12037.79999999702",1,0,0,"3","{""Q0"":""this is hard!!""}","""","""","""","""",7,0,0,0,0,0,0,0,0,0,"2",1,0,0,2,"12734.20000000298",1,0,0,"1",5,"no","was too selfish could have reduced price or collected later",NA,NA,"US",2,1,1,1,"wrong","wrong","It's wrong and I can provide a valid reason.","wrong","wrong","wrong","wrong","wrong","wrong",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,"unstated","reason","reason","reason","reason","unstated","reason","reason","reason",TRUE
